21,20021011,CK10,RCK10,-559.53,-559.53,1
10,20021011,CK11,RCK10,-1423.32,-1423.32,1
21,20021011,CK12,RCK10,9852.29,9852.29,1
21,20021011,CK13,RCK10,6005.27,6005.27,1
11,20021011,CK14,RCK10,6889.72,6889.72,1
21,20021011,CK15,RCK10,2411.65,2411.65,1
21,20021011,CK16,RCK10,-1591.52,-1591.52,1
11,20021011,CK17,RCK10,9469.45,9469.45,1
21,20021011,CK18,RCK10,7801.38,7801.38,1
21,20021011,CK19,RCK10,2224.39,2224.39,1
10,20021011,CK20,RCK10,7915.7,7915.7,1
11,20021011,CK21,RCK10,4128.48,4128.48,1
11,20021011,CK22,RCK10,9992.06,9992.06,1
10,20021011,CK23,RCK10,3910.79,3910.79,1
10,20021011,CK24,RCK10,2613.97,2613.97,1
11,20021011,CK25,RCK10,3253.28,3253.28,1
21,20021011,CK26,RCK10,4361.18,4361.18,1
21,20021011,CK27,RCK10,7282.58,7282.58,1
11,20021011,CK28,RCK10,-1510.56,-1510.56,1
10,20021011,CK29,RCK10,-899.03,-899.03,1
10,20021011,CK30,RCK10,3019.94,3019.94,1
21,20021011,CK31,RCK10,-1795.23,-1795.23,1
11,20021011,CK32,RCK10,2925.33,2925.33,1
11,20021011,CK33,RCK10,6741.76,6741.76,1
10,20021011,CK34,RCK10,4492.89,4492.89,1
21,20021011,CK35,RCK10,5894.75,5894.75,1
21,20021011,CK36,RCK10,3496.97,3496.97,1
11,20021011,CK37,RCK10,-805.56,-805.56,1
10,20021011,CK38,RCK10,7862.61,7862.61,1
10,20021011,CK39,RCK10,5879.82,5879.82,1
